total_budget,sigma,n_per_coordinate,query_price,query_cost,planning_cost,pilot_cost,remaining_budget,trial,task,offset,state_error,state_radius,coverage,full_static_lower,candidate_upper,accepted,false_accept,candidate_risk,fallback_risk,selected_risk,full_static_numeric,net_gain
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,56,2,-0.03,0.007917305640751715,0.02413725245658695,1,0.00042665147669187933,0.0009537654725695613,0,0,0.0005396698723598804,0.0005562677037970955,0.0005562677037970955,0.000538471679042777,0.9680081647148622
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,57,3,-0.015,0.0040179444060780495,0.02413725245658695,1,0.0004198970224026671,0.0007162161624462188,0,0,0.0003508446296678847,0.0005525882063734493,0.0005525882063734493,0.000540577093549485,0.9782638994364513
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,58,4,0.0,0.02583302108436546,0.02413725245658695,0,0.00040928262301633315,0.00090697633699462,0,0,0.0002937600783492608,0.0006438981322278904,0.0006438981322278904,0.0005412797551389132,0.8406294847697148
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,59,5,0.015,0.0033414968566793063,0.02413725245658695,1,0.000422806772997214,0.0007976032166811569,0,0,0.0003508446296678845,0.0005541174136792303,0.0005541174136792303,0.0005405770935494873,0.9755641678180839
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,60,6,0.03,0.003143736710924413,0.02413725245658695,1,0.00042068360874686887,0.0010281389826181926,0,0,0.0005396698723598816,0.0005511981968260052,0.0005511981968260052,0.0005384716790427769,0.9769111766756275
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,61,7,0.045,0.0023789740815989397,0.02413725245658695,1,0.00041462698567662905,0.0016591533123458126,0,0,0.0008600658764521482,0.0005468110442167036,0.0005468110442167036,0.0005349712302114757,0.9783475221825702
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,62,8,0.06,0.01020897127877218,0.02413725245658695,1,0.0003982197281446417,0.002844977076811162,0,0,0.0013117443071670907,0.0005563278168427562,0.0005563278168427562,0.0005300886374268776,0.9528350396627839
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,63,0,-0.06,0.009312383704830002,0.02413725245658695,1,0.00039276157841361425,0.0026029436228038067,0,0,0.0013117443071670872,0.0005470597436329399,0.0005470597436329399,0.0005300886374268787,0.9689775999722469
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,64,1,-0.045,0.007659372902553642,0.02413725245658695,1,0.00040336301256579704,0.0017727177534628703,0,0,0.0008600658764521485,0.0005489569586385487,0.0005489569586385487,0.0005349712302114809,0.9745230874534255
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,65,2,-0.03,0.011791490381189627,0.02413725245658695,1,0.00041388619851521927,0.0008624834263935069,0,0,0.0005396698723598804,0.0005605351246011943,0.0005605351246011943,0.000538471679042777,0.9606386030240034
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,66,3,-0.015,0.01244573071227334,0.02413725245658695,1,0.00041076033293885924,0.000750700271847112,0,0,0.0003508446296678847,0.0005527736134199106,0.0005527736134199106,0.000540577093549485,0.9779357777319219
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,67,4,0.0,0.009449232335014416,0.02413725245658695,1,0.00042609341952158284,0.000605631996096816,0,0,0.00029376007834926073,0.0005649699105210776,0.0005649699105210776,0.0005412797551389132,0.9580682883442151
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,68,5,0.015,0.004942396205462161,0.02413725245658695,1,0.0004220231363039446,0.0008364545521351024,0,0,0.0003508446296678845,0.0005566201846758144,0.0005566201846758144,0.0005405770935494873,0.971177669139557
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,69,6,0.03,0.0029474846901247527,0.02413725245658695,1,0.0004159316570379269,0.0011134517833739043,0,0,0.0005396698723598816,0.0005503970744417478,0.0005503970744417478,0.0005384716790427769,0.9783331054020109
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,70,7,0.045,0.01287381105173239,0.02413725245658695,1,0.00041487204779816955,0.0011944233697242482,0,0,0.0008600658764521482,0.0005756207052139999,0.0005756207052139999,0.0005349712302114757,0.929381492649032
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,71,8,0.06,0.009721199452914886,0.02413725245658695,1,0.00041433934483730075,0.002295504531331947,0,0,0.0013117443071670907,0.0005423950120167849,0.0005423950120167849,0.0005300886374268776,0.9773110476363922
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,72,0,-0.06,0.007997418459001685,0.02413725245658695,1,0.00039505940928817325,0.0026402031924542863,0,0,0.0013117443071670872,0.000551114112762652,0.000551114112762652,0.0005300886374268787,0.9618491436730304
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,73,1,-0.045,0.004484438689324584,0.02413725245658695,1,0.0004158053811625786,0.0014936262203019519,0,0,0.0008600658764521485,0.0005492835158085706,0.0005492835158085706,0.0005349712302114809,0.9739437190718871
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,74,2,-0.03,0.0164510669834582,0.02413725245658695,1,0.00042622219725922564,0.0015385000408590095,0,0,0.0005396698723598804,0.0005699150248680654,0.0005699150248680654,0.000538471679042777,0.9448280103993265
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,75,3,-0.015,0.009688360685887505,0.02413725245658695,1,0.000418401021344807,0.0009515678797404649,0,0,0.0003508446296678847,0.000565105695588493,0.000565105695588493,0.000540577093549485,0.9565946649795056
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,76,4,0.0,0.011688063842269471,0.02413725245658695,1,0.00042646553196111004,0.0006488963062385202,0,0,0.0002937600783492608,0.0005777221106132416,0.0005777221106132416,0.0005412797551389132,0.9369206149377848
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,77,5,0.015,0.012605321110926068,0.02413725245658695,1,0.000413511479140807,0.0009816827874841582,0,0,0.0003508446296678845,0.0005710903374932497,0.0005710903374932497,0.0005405770935494873,0.9465701974967785
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,78,6,0.03,0.022002669964934673,0.02413725245658695,1,0.00043951622768529253,0.0006953764610652404,0,0,0.0005396698723598816,0.000599193024027021,0.000599193024027021,0.0005384716790427769,0.8986614620842017
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,79,7,0.045,0.01250660478183604,0.02413725245658695,1,0.0003980628483055168,0.0019657881229029586,0,0,0.0008600658764521482,0.0005557320723372842,0.0005557320723372842,0.0005349712302114757,0.9626423538262007
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,80,8,0.06,0.007684238691190847,0.02413725245658695,1,0.0003945968917600109,0.0025211871495469064,0,0,0.0013117443071670907,0.000544162566660727,0.000544162566660727,0.0005300886374268776,0.9741365354838454
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,81,0,-0.06,0.007435002333843639,0.02413725245658695,1,0.0004000924290559646,0.0026948068512616962,0,0,0.0013117443071670872,0.000551114112762652,0.000551114112762652,0.0005300886374268787,0.9618491436730304
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,82,1,-0.045,0.0023610990593349312,0.02413725245658695,1,0.00041412689462258734,0.0015687437114614733,0,0,0.0008600658764521485,0.0005474705642348553,0.0005474705642348553,0.0005349712302114809,0.9771689386792083
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,83,2,-0.03,0.017352349186849216,0.02413725245658695,1,0.00040496145409720896,0.0016848079527802253,0,0,0.0005396698723598804,0.0005953699472936065,0.0005953699472936065,0.000538471679042777,0.9044320787277323
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,84,3,-0.015,0.011124073249795358,0.02413725245658695,1,0.00042275032880334095,0.000517152446449168,0,0,0.0003508446296678847,0.0005690272977833335,0.0005690272977833335,0.000540577093549485,0.9500020397181693
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,85,4,0.0,0.001103258083620532,0.02413725245658695,1,0.00042862459909780913,0.00048218426842615476,0,0,0.0002937600783492608,0.0005533822230922825,0.0005533822230922825,0.0005412797551389132,0.9781300022871332
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,86,5,0.015,0.009123318554497703,0.02413725245658695,1,0.0004185587668885726,0.0009348468256613408,0,0,0.0003508446296678845,0.000565105695588493,0.000565105695588493,0.0005405770935494873,0.9565946649795096
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,87,6,0.03,0.0122779260284101,0.02413725245658695,1,0.0004132246547809777,0.0015464919425441763,0,0,0.0005396698723598816,0.0005772335956730108,0.0005772335956730108,0.0005384716790427769,0.9328488207879854
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,88,7,0.045,0.004021573535220664,0.02413725245658695,1,0.0004164250812934145,0.001542657755429697,0,0,0.0008600658764521482,0.0005492835158085706,0.0005492835158085706,0.0005349712302114757,0.9739437190718776
4.0,0.05,64,0.0001,0.0128,0.0,0.0128,3.9872,89,8,0.06,0.007069538166818417,0.02413725245658695,1,0.00040657005308399524,0.0019892766807666643,0,0,0.0013117443071670907,0.0005509794326074159,0.0005509794326074159,0.0005300886374268776,0.9620842558828809
4.0,0.05,64,0.0001,0.0128,0.02,0.0328,3.9672,0,0,-0.06,0.0032817210222618907,0.02413725245658695,1,0.0004003955758580651,0.0024658461521051933,0,0,0.0013222977044692822,0.0005630114317442134,0.0005630114317442134,0.0005300886374268787,0.9415237551831948
4.0,0.05,64,0.0001,0.0128,0.02,0.0328,3.9672,1,1,-0.045,0.0005165708412995261,0.02413725245658695,1,0.00041176435019617784,0.0016554990112205583,0,0,0.0008709769368384141,0.0005658336430498646,0.0005658336430498646,0.0005349712302114809,0.9454567376516636
4.0,0.05,64,0.0001,0.0128,0.02,0.0328,3.9672,2,2,-0.03,0.01351876314600169,0.02413725245658695,1,0.00040522210436476835,0.0010941572622735296,0,0,0.0005509395655217416,0.0005695277799569985,0.0005695277799569985,0.000538471679042777,0.9454704370758413
4.0,0.05,64,0.0001,0.0128,0.02,0.0328,3.9672,3,3,-0.015,0.012376104864326297,0.02413725245658695,1,0.0004351762588497176,0.0008374097511163591,0,0,0.0003624736025515736,0.0005733118329055917,0.0005733118329055917,0.000540577093549485,0.9429023831756544
4.0,0.05,64,0.0001,0.0128,0.02,0.0328,3.9672,4,4,0.0,0.00975451977473509,0.02413725245658695,1,0.00041841345362635715,0.0005521342945077377,0,0,0.00030574865457351193,0.0005795865864705373,0.0005795865864705373,0.0005412797551389132,0.9339066289216627
4.0,0.05,64,0.0001,0.0128,0.02,0.0328,3.9672,5,5,0.015,0.011632569167641044,0.02413725245658695,1,0.00042904084393771116,0.0009622418716800765,0,0,0.00036247360255157253,0.0005843447206932761,0.0005843447206932761,0.0005405770935494873,0.9250996447920977
4.0,0.05,64,0.0001,0.0128,0.02,0.0328,3.9672,6,6,0.03,0.012352961810825536,0.02413725245658695,1,0.00041981549563826657,0.0015220375839833451,0,0,0.0005509395655217416,0.0005890950585868722,0.0005890950585868722,0.0005384716790427769,0.914065856085211
