angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,0.0,0.0,10.25,8.863697741979146e-10,6.585408220741768e-10,6.585408220741768e-10,1.3459602571123155,1.8676457735272076e-09
15,0.0,0.0,10.5,5.422096633202651e-10,3.994251992603504e-10,3.994251992603504e-10,1.3574748521733753,1.1424753143397141e-09
15,0.0,0.0,10.75,3.3168021694321896e-10,2.422636296132304e-10,2.422636296132304e-10,1.369087953782995,6.988744130186678e-10
15,0.0,0.0,11.0,2.0289525206510477e-10,1.469403190936897e-10,1.469403190936897e-10,1.380800404657744,4.275150972656123e-10
15,0.0,0.0,11.25,1.2411497945205993e-10,8.912380867828049e-11,8.912380867828049e-11,1.392613054723578,2.6151931588399183e-10
15,0.0,0.0,11.5,7.592355152520905e-11,5.405632247373999e-11,5.405632247373999e-11,1.4045267611775096,1.5997646168749177e-10
15,0.0,0.0,11.75,4.644391596928554e-11,3.278681693163636e-11,3.278681693163636e-11,1.4165423885498105,9.786071903378003e-11
15,0.0,0.0,12.0,2.8410648438196982e-11,1.9886209703422746e-11,1.9886209703422746e-11,1.4286608087667425,5.986330881866234e-11
15,0.0,0.0,12.25,1.7379347280117913e-11,1.2061595890600771e-11,1.2061595890600771e-11,1.440882901213852,3.6619552544478156e-11
15,0.0,0.0,12.5,1.0631285397796795e-11,7.315727712713273e-12,7.315727712713273e-12,1.4532095527997502,2.2400893886693385e-11
15,0.0,0.0,12.75,6.503364446759622e-12,4.4372131558699766e-12,4.4372131558699766e-12,1.4656416580204943,1.3703063310574053e-11
15,0.0,0.0,13.0,3.978234761352747e-12,2.6913058227153928e-12,2.6913058227153928e-12,1.4781801190244916,8.382430854909582e-12
15,0.0,0.0,13.25,2.4335637262834035e-12,1.632359496140019e-12,1.632359496140019e-12,1.4908258456779666,5.1276963000725e-12
15,0.0,0.0,13.5,1.4886583535529173e-12,9.900760820819875e-13,9.900760820819875e-13,1.5035797556309844,3.1367117487603306e-12
15,0.0,0.0,13.75,9.106413239432037e-13,6.005114992308873e-13,6.005114992308873e-13,1.516442774384036,1.9187877009543972e-12
15,0.0,0.0,14.0,5.570570432724582e-13,3.6422863579353263e-13,3.6422863579353263e-13,1.5294158353552207,1.1737598275609547e-12
15,0.0,0.0,14.25,3.4076264858677487e-13,2.2091583475408384e-13,2.2091583475408384e-13,1.5424998799479472,7.180117592532666e-13
15,0.0,0.0,14.5,2.084511524883092e-13,1.3399222699436158e-13,1.3399222699436158e-13,1.5556958576192697,4.3922178483244324e-13
15,0.0,0.0,14.75,1.2751363200723377e-13,8.127039383525505e-14,8.127039383525505e-14,1.56900472594878,2.6868052477583867e-13
15,0.0,0.0,15.0,7.800257352181415e-14,4.929298558800279e-14,4.929298558800279e-14,1.5824274507080955,1.6435711270869185e-13
15,0.0,0.0,15.25,4.7715694237937144e-14,2.9897707067896665e-14,2.9897707067896665e-14,1.5959650059309378,1.0054044862564695e-13
15,0.0,0.0,15.5,2.918861998792374e-14,1.8133875991786425e-14,1.8133875991786425e-14,1.6096183739838335,6.150255162831059e-14
15,0.0,0.0,15.75,1.7855247637202863e-14,1.0998751768445306e-14,1.0998751768445306e-14,1.6233885456373687,3.7622309314304136e-14
15,0.0,0.0,16.0,1.0922402919964704e-14,6.671080166130625e-15,6.671080166130625e-15,1.6372765201381083,2.3014299743128443e-14
15,0.0,0.05,1.0,0.06335046659765287,0.06450615688548834,0.06335046659765287,0.9820840312981741,0.0
15,0.0,0.05,1.25,0.03779590697056996,0.03815896314029799,0.03779590697056996,0.9904856909137392,0.0
15,0.0,0.05,1.5,0.022549645810831413,0.022573139344318847,0.022549645810831413,0.9989592261346959,0.0
15,0.0,0.05,1.75,0.013453481261605475,0.013353261669731423,0.013353261669731423,1.0075052518517797,0.020216775062906964
15,0.0,0.05,2.0,0.008026563236280664,0.007899193572523397,0.007899193572523397,1.0161243882160718,0.017346243910452957
15,0.0,0.05,2.25,0.004788776684134175,0.004672810331998082,0.004672810331998082,1.0248172606840018,0.011745322384753525
15,0.0,0.05,2.5,0.002857061167455958,0.002764226018562144,0.002764226018562144,1.033584500062735,0.007473604674674676
15,0.0,0.05,2.75,0.0017045686305709729,0.0016351927296027594,0.0016351927296027594,1.0424267425559475,0.004651285416161813
15,0.0,0.05,3.0,0.0010169730523878935,0.0009673070309701274,0.0009673070309701274,1.0513446298099944,0.0028684512845081806
15,0.0,0.05,3.25,0.0006067424747437219,0.0005722156631601157,0.0005722156631601157,1.0603388089604688,0.001761718063878123
15,0.0,0.05,3.5,0.0003619923161127393,0.00033849724511708103,0.00033849724511708103,1.0694099326791615,0.0010798767050898329
15,0.0,0.05,3.75,0.00021597043618878662,0.000200239861172398,0.000200239861172398,1.078558659221429,0.0006612859732062383
15,0.0,0.05,4.0,0.00012885143477202465,0.00011845296403659836,0.00011845296403659836,1.0877856524739513,0.00040475124644882946
15,0.0,0.05,4.25,7.687483775925878e-05,7.007148630099919e-05,7.007148630099919e-05,1.097091582002915,0.0002476702578222218
15,0.0,0.05,4.5,4.5864764261014216e-05,4.1451163610511864e-05,4.1451163610511864e-05,1.1064771231025967,0.00015153018856981241
15,0.0,0.05,4.75,2.7363655807716518e-05,2.4520658193044805e-05,2.4520658193044805e-05,1.1159429568443688,9.270258251659649e-05
15,0.0,0.05,5.0,1.6325597029169606e-05,1.4505326891900754e-05,1.4505326891900754e-05,1.12548977012612,5.6710913599553564e-05
15,0.0,0.05,5.25,9.740113683335806e-06,8.58070393479811e-06,8.58070393479811e-06,1.1351182557221018,3.4692179715868746e-05
15,0.0,0.05,5.5,5.811108432653203e-06,5.075961442673261e-06,5.075961442673261e-06,1.1448291123332048,2.1222230873491255e-05
15,0.0,0.05,5.75,3.4670007264728277e-06,3.002712220732485e-06,3.002712220732485e-06,1.1546230446376522,1.2982173203541523e-05
15,0.0,0.05,6.0,2.0684683785662983e-06,1.7762705218240935e-06,1.7762705218240935e-06,1.16450076334214,7.941490548691881e-06
15,0.0,0.05,6.25,1.2340814931070144e-06,1.0507623557516847e-06,1.0507623557516847e-06,1.1744629852334105,4.8579793095738565e-06
15,0.0,0.05,6.5,7.36272861316272e-07,6.215841082196206e-07,6.215841082196206e-07,1.1845104332302672,2.9717258072769844e-06
15,0.0,0.05,6.75,4.3927222743291057e-07,3.6770141362247946e-07,3.6770141362247946e-07,1.1946438364360306,1.817864418133084e-06
15,0.0,0.05,7.0,2.620768738493307e-07,2.1751574371363883e-07,2.1751574371363883e-07,1.2048639301914483,1.112023736803885e-06
15,0.0,0.05,7.25,1.5635927681571486e-07,1.2867260502804036e-07,1.2867260502804036e-07,1.2151714561280624,6.802468192242192e-07
15,0.0,0.05,7.5,9.328645861514951e-08,7.61169697513897e-08,7.61169697513897e-08,1.2255671622220135,4.161203167278742e-07
