case,angle,epsilon,ridge,budget,phase1_time,p1,p2,risk,lower_bound,margin
44,0.9605558549271568,1.5375529319113509e-06,0.0054037768426572486,0.13819864582178332,0.09799629164564531,0.7010356902025058,0.4946183961590299,0.40192408731862816,2.376480763349852e-07,0.40192384967055184
45,0.3432625858015646,0.000547755139112683,0.17076528424237986,16.24391503496372,7.963119286422032,0.501555427800027,0.5829277083791983,4.192406908388635e-07,3.6678676654533044e-07,5.245392429353304e-08
46,0.44458067821428093,0.1240033561339036,0.19017599695751708,16.088145525305993,12.276329701197465,0.28843118814987967,0.20892172277607024,4.341096206774285e-05,2.327358757938261e-05,2.0137374488360237e-05
47,0.5097066141821193,0.019129918757754584,0.035874877115564606,2.6656550305596607,2.2561875146654766,0.2710397285310705,0.8292258636008003,0.011776884443635168,0.004289250273490181,0.0074876341701449875
48,0.4971526892602842,1.9754155087938908e-05,0.14891616367098623,4.854996130362551,3.424574849254965,0.8882639653357955,0.7874819926485731,0.0034648435507279264,9.984490275451785e-07,0.0034638451017003813
49,0.7838603806096619,4.5806359819568785e-06,0.19060404386918897,14.864413463407882,5.508336340217118,0.742845240568557,0.4465253526525357,1.6185063490125267e-06,5.1943424290655166e-11,1.618454405588236e-06
50,0.813852478182067,0.00015915759166484984,0.0868954060538624,3.3870484250798563,0.022910652217662156,0.03587016350956884,0.9528508987757776,0.030679130137643035,7.208428887755652e-06,0.030671921708755278
51,0.454539565093834,2.4187775899184238e-05,0.05988083753408198,13.571954925183581,4.582655239310035,0.7866049625384308,0.5481445216196794,0.0005250233147054031,4.843775662275319e-07,0.0005245389371391756
52,1.3012966820844787,0.0649505114209669,0.09285381245275431,14.491184852527406,2.920723167246403,0.45854344087562937,0.3669515932662538,3.3046765111079013e-07,3.763319153695527e-09,3.2670433195709463e-07
53,1.4394508952775937,5.119706767049713e-06,0.09207907123781578,1.963383683112143,1.2748620686256815,0.8049811131211538,0.7808059356028237,0.07161715949664547,5.552710494189496e-09,0.07161715394393497
54,0.9531118004444409,0.0038178885941027333,0.0465531557711258,12.113932957850347,4.3615120158345,0.3450225702791344,0.03057457790249707,0.0011639672275525852,1.266011806472245e-06,0.001162701215746113
55,0.5993201741641183,0.0001304449231310411,0.07816642518014257,15.78986143347162,11.330258192080732,0.020942965174396866,0.7449674913386656,0.0013580763912831133,2.4037878269419847e-07,0.0013578360125004192
56,0.35556201329215287,2.575472244035773e-05,0.19077968639574433,19.663818146543807,0.6847154003750998,0.5065940471152568,0.21149326145881908,3.5882312753287086e-07,1.8242665861760599e-09,3.569988609466948e-07
57,1.1780509938036552,0.00021874629731528355,0.1664780524223949,23.5357065457976,21.58725270389898,0.8145424843161947,0.4310016157084724,1.3836331392527673e-08,3.104420710263661e-15,1.3836328288106962e-08
58,0.9747606820182421,0.36865970822113514,0.04318424621483039,10.26801845774657,8.652914904621655,0.4931806376390552,0.5926337269363223,0.0008546217474170718,0.00026480247064195213,0.0005898192767751196
59,1.3496883893351364,0.012867382208295183,0.01941992009042517,23.336287275405088,22.82497199427568,0.4904640468321757,0.955829024309016,3.8627036121584204e-11,1.5303796854322448e-12,3.7096656436151956e-11
60,0.6346146799629295,0.00011641231650622797,0.016573728798799394,17.439315341700297,0.7128615435920581,0.7156677903352885,0.036871465862489794,0.0016326593911242509,7.099297057102555e-07,0.0016319494614185407
61,1.4143971885491087,0.00010068349789121163,0.13793022228176474,10.086590901231858,0.9171249789326553,0.8413547098177914,0.5870372911301467,5.149972717593662e-06,1.5142805253171922e-11,5.149957574788409e-06
62,1.1403654329694919,1.0068381212996876e-06,0.0984733634424815,6.118288618942402,0.7355808141542304,0.8786049812033936,0.5495973603277784,0.0004259215000763277,7.430511072834806e-10,0.0004259207570252204
63,0.5463326217543167,4.3853028160587945e-05,0.09195379079124977,9.968711399181231,4.669609264894203,0.08962884206024702,0.46377011304949756,0.0014841724159569455,5.99690341682102e-07,0.0014835727256152635
64,0.5783133649343062,0.8917850679249192,0.10518264365794894,4.109770245445257,2.0392532178334886,0.4535140457062016,0.02247654145997824,0.12419038495955387,0.06751008862189008,0.05668029633766379
65,0.6454476787940225,1.181482435813673e-05,0.030348357836168627,19.44723688361049,10.932969386090683,0.1399360861007295,0.29072621260117026,0.0008510595140050474,2.315421341372483e-08,0.0008510363597916337
66,1.4451415490892208,5.059903654519145e-06,0.07531050781687615,23.381414302999925,19.288452233027208,0.4695492477065113,0.413103268749769,1.9568717011215726e-12,1.541315164098267e-18,1.9568701598064083e-12
67,0.48096970095442093,0.017946181298988232,0.14113312578438839,7.3100831846936805,2.3211378692212143,0.021970031014257985,0.7682453795763983,0.0019695731089712136,0.00039087969673187744,0.0015786934122393361
68,0.8796390374821161,0.0013116775931979773,0.08641720069190945,8.666774848104206,3.4219724921646484,0.9466924925598811,0.5684174974717515,0.001916564840224511,2.572957099490597e-06,0.0019139918831250205
69,0.5855793609648662,2.257811217962447e-06,0.19431994616238815,10.07138546749394,5.709776178887293,0.44731556234676373,0.5717323696957248,2.2278134922334612e-06,2.9223449882966438e-09,2.2248911472451646e-06
70,0.7551102858755098,6.261012012274511e-06,0.10717720844677539,5.77344119870648,3.9774752011525303,0.5419158473710888,0.8058395694585886,9.861402647047501e-05,1.0026056995508473e-07,9.851376590051992e-05
71,0.8576092483481038,7.911744804887564e-06,0.11745546482499236,24.90021111821658,5.04457305552363,0.4261391542462385,0.9791984637690443,5.409152056713997e-07,8.900552342136716e-13,5.409143156161655e-07
72,1.4919367293856,0.00041031382510175074,0.07957257484631303,9.351131013591576,5.536729451398984,0.46264866751370604,0.20234386068246646,4.7476523027525184e-05,5.216354965852427e-11,4.747647086397553e-05
73,0.9579170123405426,2.6246728259163067e-06,0.04848770150650217,23.664845903315477,16.050584555260944,0.6938488009241295,0.18036242229116295,1.5421210877853473e-06,1.8854973120939622e-12,1.5421192022880353e-06
74,0.7732433283505044,0.5075915808595386,0.15143744376012439,18.440549695667105,10.391344545979328,0.6299623468137938,0.7955047924744038,1.5433421957366755e-05,2.5763878294983614e-06,1.2857034127868394e-05
75,0.45301082350283306,0.00011431600562243536,0.0905578002230147,6.58504851130232,3.9334338865930643,0.855294369025445,0.08155177648176903,0.002518422395691048,7.216033099373693e-06,0.0025112063625916743
76,1.4798080779041671,0.0002600415020569292,0.06787197753085002,14.38390246693078,10.839415050758806,0.3069589925086481,0.4138013325883456,2.197585142848046e-06,3.188371296242164e-13,2.1975848240109165e-06
77,0.46345966580718323,0.11890069455927366,0.11485563537227142,8.48072897907635,4.248763953062606,0.6389793686269885,0.6138407021588461,0.0038096766688561104,0.002771656286158593,0.0010380203826975175
78,0.33579741384730727,0.0021672383710842165,0.05225236468956851,9.080447986135617,4.075046395354965,0.7617594459707471,0.7766613563326216,0.001397806913710152,0.00022520350061668848,0.0011726034130934634
79,0.5022241607802849,1.981042175204539e-06,0.13653042758154918,9.039612950818679,1.0203855020170756,0.6838627618466577,0.06467717755326752,3.1736049513166356e-05,2.111527445332601e-08,3.171493423871303e-05
80,0.23180411385349023,0.0009892694838200416,0.08918369978745222,13.499730172594392,11.14703400739245,0.3865781185923669,0.1613562122066,5.572408649516357e-05,2.938887231016457e-05,2.6335214184999e-05
81,0.4508549243259369,0.03335759083586977,0.07348071584757894,20.859997434940308,1.455740082508154,0.884021660799611,0.8177801403409473,0.0004350188373442517,7.835789204526773e-05,0.00035666094529898396
82,1.3946839485337894,0.14496361349464676,0.13077845518570105,6.56032718918121,6.396852594080442,0.6640909266173486,0.840642201071156,0.0005610182651301187,1.7871842427545681e-06,0.0005592310808873642
83,0.5015256584019018,0.0006925049704158179,0.1009639184622418,8.754186174347979,5.261014774093746,0.6072564193256329,0.25824744250046217,0.00012555002681948586,1.546437155488289e-05,0.00011008565526460297
84,0.5498565051094162,4.627606026742923e-05,0.053213375680331756,14.190113908522157,0.35326460654995073,0.4709644688210942,0.5687187239657443,1.0610443120192002e-05,4.5873137780961616e-07,1.0151711742382386e-05
85,1.3913686559760625,0.00019431817124005753,0.11877788021195389,1.99971532519281,1.7112739238455397,0.5628047578173241,0.8759701544171357,0.03271966393876257,3.7223251532906013e-07,0.03271929170624724
86,1.3613320995933316,3.3796846088689496e-06,0.11566752536087888,18.542761999224428,5.6798208241577965,0.734824219709201,0.3575078752340891,5.1139466710168866e-09,4.1903636038510253e-16,5.1139462519805266e-09
